,Symb,Exch,Y_symb,G_symb,G_DayVol,G_LPrice,,Y_DayVol,Y_LPrice,Y_DayturnO,G_DayturnO
1,BFA,LSE,BFA.L,LON:BFA,132028,67.01,,1674.06468,0.849714648,1422.47728,8847196.28
2,COD,LSE,COD.L,LON:COD,95657,38.47,,1213.696893,0.490615092,595.4580127,3679924.79
3,CPXJ,LSE,CPXJ.L,LON:CPXJ,10423,108.79,,No data.,1.39137603,No data.,1133918.17
4,CRUD,LSE,CRUD.L,LON:CRUD,1210000,8.12,,No data.,0.105374762,No data.,9825200
5,CSPX,LSE,CSPX.L,LON:CSPX,35448,192.16,,No data.,2.443246671,No data.,6811687.68
6,CSX5,LSE,CSX5.L,LON:CSX5,13397,85.13,,No data.,1.087000634,No data.,1140486.61
7,CWC,LSE,CWC.L,LON:CWC,0,0,,2582117.945,0.94610019,2442942.279,0
8,EEMB,LSE,EEMB.L,LON:EEMB,164500,97.42,,No data.,1.238744451,No data.,16025590
9,EMDL,LSE,EMDL.L,LON:EMDL,58523.77933,62.99302473,,No data.,0.626569436,No data.,3686589.879
10,ENDP,LSE,ENDP.L,LON:ENDP,190939,15.76,,No data.,40.94153456,No data.,3009198.64
11,GBS,LSE,GBS.L,LON:GBS,166673,118.61,,No data.,1.509194673,No data.,19769084.53
12,GCVB,LSE,GCVB.L,LON:GCVB,28693,30.7,,No data.,0.387190869,No data.,880875.1
13,GLB,LSE,GLB.L,LON:GLB,51142,15.7,,410.906785,0.200507292,82.38980687,802929.4
14,GLTS,LSE,GLTS.L,LON:GLTS,190423.5891,64.99682942,,No data.,65.02219404,No data.,12376929.54
15,GOLD,LSE,GOLD.L,LON:GOLD,106970,87.87,,0.202916931,0.494610019,0.100364747,9399453.9
16,HMUD,LSE,HMUD.L,LON:HMUD,79212,19.62,,No data.,0.24730501,No data.,1554139.44
17,HSPD,LSE,HSPD.L,LON:HSPD,52554,20.65,,No data.,0.260240964,No data.,1085240.1
18,IAUP,LSE,IAUP.L,LON:IAUP,667454,9.9,,No data.,0.127076728,No data.,6607794.6
19,IAUS,LSE,IAUS.L,LON:IAUS,512301,27.28,,No data.,0.348826886,No data.,13975571.28
