Symbol	Description
A2D1	A2D Funding Plc
A2D2	A2D Funding II Plc
AA	AA Plc
AA07	FTSE Advanced Emerging
AA18	Barclays Bank Plc
AA4	Amedeo Air Four Plus Lim
AAAP	Anglo African Agricultur
AADV	Albion Development Vct Plc
AAEV	Albion Enterprise Vct Plc
AAI	Atlas African Industries Limited
AAIF	Aberdeen Asian Income Fund Ltd
AAL	Anglo American Plc
AAM	Artemis Vct Plc
AAS	Aberdeen Asian Smaller Companies Investm
AASC	Aberdeen Asian Smaller Companies Investm
AASDIGEQ	FTSE Aim Digital Service
AASG	Amundi ETF
AASU	Amundi Investment Solutions
AATG	Albion Technology & General Vct Plc
AAU	Ariana Resources Plc
AAVC	Albion Venture Capital Tst Plc
AAZ	Anglo Asian Mining Plc
ABB1	Santander UK Plc
ABBY	Abbey Plc
ABC	Abcam Plc
ABD	Aberdeen New Dawn Investment Trust Plc
ABDP	Ab Dynamics Plc
ABF	Associated British Foods Plc
ABND	SSGA SPDR ETFS Europe I Plc
ABT	Abbott Laboratories
ABTU	Aqua Bounty Technologies
ABZA	Abzena Plc
AC24	FTSE Japan Lms Index
ACA	Acacia Mining Plc
ACC	Access Intelligence Plc
ACD	Acencia Debt Strategies Ltd
ACDAPR	FTSE Developed Asia Paci
ACDER	FTSE Developed Europe Al
ACDF	Ashmore Sicav
ACDXUSR	FTSE Developed Ex US All
ACHL	Asian Citrus Holdings Limited
ACID	Acer Incorporated
ACIM	SSGA SPDR ETFS Europe I Plc
ACL	Acal Plc
ACNAN	FTSE North America All C
ACNANCH	FTSE North America All C
ACNANEU	FTSE North America All C
ACNANUK	FTSE North America All C
ACO	Acorn Minerals Plc
ACP	Armadale Capital Plc
ACSO	Accesso Technology Group
ACT	Actual Experience Plc
ACWD	SSGA SPDR ETFS Europe I Plc
ACWI	SSGA SPDR ETFS Europe I Plc
ACWL	Multi Units France
ACWU	Multi Units France
ACXUSS	FTSE Gloabl All Cap Ex U
AD01	FTSE Developed
AD02	FTSE Developed Ex US
AD03	FTSE Developed Ex North
AD04	FTSE Developed Ex UK
AD05	FTSE Developed Ex Japan
AD06	FTSE Developed Europe
AD07	FTSE Developed Europe Ex
AD09	FTSE Dev Lms Ex US Index
AD13	FTSE Dev Europe Lms Inde
AD17	FTSE Dev Lms Ex Na Index
AD20	FTSE Dev Europe Lms Ex U
ADA	Adams Plc
ADGO	Adgorithms Ltd
ADL	Andalas Energy and Power Plc
ADM	Admiral Group Plc
ADN	Aberdeen Asset Management Plc
ADT	Adept Telecom Plc
AE01	FTSE Emerging
AE08	Tesco Plc
AE57	Aviva Plc
AEC	Aec Education Plc
AEFS	Alcentra European Floating Rate Income F
AEG	Active Energy Group Plc
AEJ	Lyxor International Asse
AEJL	Lyxor International Asse
AEMC	Aberdeen Emerging Markets Investment Com
AEN	Andes Energia Plc
AEO	Aeorema Communications Plc
AEP	Anglo-Eastern Plantations Plc
AERO	Strat Aero Plc
AEWU	Aew UK REIT Plc
AEX	Aminex Plc
AEY	Antrim Energy Inc
AFC	Afc Energy Plc
AFG	Aquatic Foods Group Plc
AFHP	Afh Financial Group Plc
AFID	Afi Development Plc
AFMC	Aberdeen Frontier Markets Investment Com
AFN	Advfn Plc
AFPO	African Potash Limited
AFRB	Afi Development Plc
AFS	Amiad Water Systems Ltd
AFSL	Lyxor International Asse
AFSU	Lyxor International Asse
AG01	FTSE All-Emerging
AG02	FTSE All-Emerging Latin
AG03	FTSE All-Emerging Asia P
AG14	FTSE All-Emer Lms Index
AG15	FTSE All-Emer Latin Amer
AG16	FTSE All-Emer Asia Pacif
AG41	Northumbrian Water Finan
AG93	Safeway Plc
AG99	Glaxosmithkline Capital
AGAP	ETFS Commodity Securities Limited
AGCP	ETFS Commodity Securities Limited
AGGP	ETFS Commodity Securities Limited
AGIT	Aberforth Geared Income Trust Plc
AGIZ	Aberforth Geared Income Trust Plc
AGK	Aggreko Plc
AGL	Angle Plc
AGM	Applied Graphene Materia
AGOL	Ashmore Global Opportunities Limited
AGOU	Ashmore Global Opportunities Limited
AGP	Asian Growth Properties Limited
AGQ	Arian Silver Corporation
AGR	Assura Group Ld
AGRI	Etfx Fund Company Plc
AGRO	Ros Agro Plc
AGRP	Etfx Fund Company Plc
AGRY	UBS Ag
AGTA	Agriterra Ld
AGY	Allergy Therapeutics Plc
AHCG	Action Hotels Plc
AHT	Ashtead Group Plc
AI68	National Grid Gas Plc
AIEA	Airea Plc
AIF	Acorn Income Fund Ld
AIFZ	Acorn Income Fund Ld
AIGA	ETFS Commodity Securities Limited
AIGC	ETFS Commodity Securities Limited
AIGE	ETFS Commodity Securities Limited
AIGG	ETFS Commodity Securities Limited
AIGI	ETFS Commodity Securities Limited
AIGL	ETFS Commodity Securities Limited
AIGO	ETFS Commodity Securities Limited
AIGP	ETFS Commodity Securities Limited
AIGS	ETFS Commodity Securities Limited
AIGX	ETFS Commodity Securities Limited
AIM1	FTSE Aim 100 Index
AIM5	FTSE Aim UK 50 Index
AIR	Air Partner Plc
AJG	Atlantis Japan Growth Fund Ld
AJIT	Aberdeen Japan Investmen
AKR	Akers Biosciences Inc.
