ABI.BR,Anheuser-Busch InBev SA/NV,109.3011:36AM EDT, 1.05(0.97%),"1,614,891"
AC.PA,Accor S.A.,38.8511:35AM EDT, 0.69(1.81%),"808,822"
ACA.PA,Credit Agricole S.A.,8.8411:35AM EDT, 0.10(1.14%),"6,808,653"
AGN.AS,AEGON,4.502011:35AM EDT,0.0850(1.92%),"7,375,360"
AGS.BR,ageas SA/NV,34.4611:35AM EDT, 0.20(0.58%),"813,689"
AH.AS,KON. AHOLD,19.2411:35AM EDT, 0.36(1.91%),"2,528,507"
AI.PA,Air Liquide SA,97.1711:38AM EDT, 1.43(1.49%),"1,044,286"
AIR.PA,AIRBUS GROUP,54.4111:35AM EDT, 1.08(2.03%),"2,114,660"
AKE.PA,Arkema S.A.,71.5111:35AM EDT, 0.98(1.39%),"212,442"
AKZA.AS,AKZO NOBEL,61.5511:35AM EDT, 0.68(1.12%),"548,492"
ALO.PA,Alstom SA,22.1511:36AM EDT, 0.03(0.16%),"757,520"
ASML.AS,ASML HLDG,85.1811:35AM EDT, 2.01(2.42%),"1,416,359"
ATC.AS,Altice,14.7011:39AM EDT, 0.55(3.89%),"1,478,693"
ATO.PA,Atos SE,81.6511:35AM EDT, 1.42(1.77%),"281,900"
BB.PA,Societe BIC SA,123.1511:35AM EDT, 2.05(1.69%),"46,344"
BN.PA,Danone,60.3511:35AM EDT, 0.85(1.43%),"2,128,033"
BNP.PA,BNP Paribas SA,45.7211:35AM EDT, 0.41(0.90%),"4,395,458"
BOKA.AS,BOSKALIS WESTMINSTR,33.2811:35AM EDT, 0.48(1.45%),"282,713"
BPOST.BR,bpost SA/NV,24.2511:35AM EDT, 0.13(0.54%),"279,834"
BVI.PA,Bureau Veritas SA,19.0511:35AM EDT, 0.09(0.50%),"691,804"
CA.PA,Carrefour SA,24.4011:37AM EDT, 0.42(1.73%),"3,745,352"
CAP.PA,Cap Gemini S.A.,81.7311:35AM EDT, 1.52(1.90%),"486,514"
CO.PA,"Casino, Guichard-Perrachon Société Anonyme",50.0811:35AM EDT, 0.53(1.07%),"248,718"
COLR.BR,Etn Fr Colruyt NV,52.2911:35AM EDT, 1.15(2.25%),"187,413"
CS.PA,AXA Group,21.2411:38AM EDT, 0.39(1.85%),"7,010,249"
DEC.PA,JCDecaux SA,35.4811:35AM EDT, 0.77(2.23%),"107,331"
DELB.BR,"Etablissements Delhaize Frères et Cie ""Le Lion"" (Groupe Delhaize) SA",92.3511:35AM EDT, 1.95(2.16%),"294,942"
DG.PA,VINCI S.A.,66.0111:36AM EDT, 0.86(1.32%),"2,293,771"
DSM.AS,DSM,52.7411:35AM EDT, 0.23(0.44%),"557,276"
DSY.PA,Dassault Systèmes SE,69.1011:35AM EDT, 1.40(2.07%),"177,741"
EDF.PA,Electricite de France SA,11.5511:35AM EDT, 0.03(0.30%),"1,415,236"
EDP.LS,EDP-ENERGIAS R,2.902012:35PM EDT, 0.0280(0.96%),"6,968,252"
EI.PA,Essilor International SA,114.5511:35AM EDT, 2.30(2.05%),"695,217"
EN.PA,Bouygues SA,28.9411:37AM EDT, 0.23(0.78%),"833,924"
ENGI.PA,ENGIE,13.3011:35AM EDT, 0.11(0.83%),"4,618,231"
ERF.PA,Eurofins Scientific SE,330.3011:35AM EDT, 8.30(2.58%),"10,005"
ETL.PA,Eutelsat Communications S.A.,18.5211:35AM EDT, 0.59(3.32%),"1,071,118"
FDR.PA,Fonciere des Regions,79.0011:35AM EDT, 0.69(0.88%),"106,239"
FGR.PA,Eiffage SA,67.0611:37AM EDT, 0.84(1.24%),"851,850"
