,Symb,Exch,Y_symb,G_symb,G_URL,Y_URL
0,A2D1,LSE,A2D1.L,LON:A2D1,https://www.google.com/finance?q=LON:A2D1,"http://finance.yahoo.com/echarts?s=A2D1.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
1,A2D2,LSE,A2D2.L,LON:A2D2,https://www.google.com/finance?q=LON:A2D2,"http://finance.yahoo.com/echarts?s=A2D2.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
2,AA,LSE,AA.L,LON:AA,https://www.google.com/finance?q=LON:AA,"http://finance.yahoo.com/echarts?s=AA.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
3,AA07,LSE,AA07.L,LON:AA07,https://www.google.com/finance?q=LON:AA07,"http://finance.yahoo.com/echarts?s=AA07.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
4,AA18,LSE,AA18.L,LON:AA18,https://www.google.com/finance?q=LON:AA18,"http://finance.yahoo.com/echarts?s=AA18.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
5,AA4,LSE,AA4.L,LON:AA4,https://www.google.com/finance?q=LON:AA4,"http://finance.yahoo.com/echarts?s=AA4.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
6,AAAP,LSE,AAAP.L,LON:AAAP,https://www.google.com/finance?q=LON:AAAP,"http://finance.yahoo.com/echarts?s=AAAP.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
7,AADV,LSE,AADV.L,LON:AADV,https://www.google.com/finance?q=LON:AADV,"http://finance.yahoo.com/echarts?s=AADV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
8,AAEV,LSE,AAEV.L,LON:AAEV,https://www.google.com/finance?q=LON:AAEV,"http://finance.yahoo.com/echarts?s=AAEV.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
9,AAI,LSE,AAI.L,LON:AAI,https://www.google.com/finance?q=LON:AAI,"http://finance.yahoo.com/echarts?s=AAI.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
10,AAIF,LSE,AAIF.L,LON:AAIF,https://www.google.com/finance?q=LON:AAIF,"http://finance.yahoo.com/echarts?s=AAIF.L+Interactive#{""range"":""1d"",""allowChartStacking"":true}"
